pruid,prname,prnameFR,date,reporting_week,reporting_year,update,numcases_total,numcases_weekly,ratecases_total,numdeaths_total,numdeaths_weekly,ratedeaths_total,ratecases_last7,ratedeaths_last7,numcases_last14,numdeaths_last14,ratecases_last14,ratedeaths_last14,avgcases_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7
12,Nova Scotia,Nouvelle-Écosse,2020-04-25,17,2020,0,865,216,87.19,22,15,2.22,21.77,1.51,437,20,44.05,2.02,30.86,3.11,2.14,0.22
62,Nunavut,Nunavut,2020-04-25,17,2020,0,0,0,0.00,0,0,0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
35,Ontario,Ontario,2020-04-25,17,2020,0,13992,3985,94.37,807,296,5.44,26.88,2.00,7347,555,49.55,3.74,569.29,3.84,42.29,0.29
11,Prince Edward Island,Île-du-Prince-Édouard,2020-04-25,17,2020,0,26,0,15.82,0,0,0,0.00,0.00,1,0,0.61,0,0.00,0.00,0.00,0.00
24,Quebec,Québec,2020-04-25,17,2020,0,23266,5746,270.39,1446,641,16.81,66.78,7.45,10975,1157,127.55,13.45,820.86,9.54,91.57,1.06
47,Saskatchewan,Saskatchewan,2020-04-25,17,2020,0,349,36,29.58,4,0,0.34,3.05,0.00,60,0,5.09,0,5.14,0.44,0.00,0.00
60,Yukon,Yukon,2020-04-25,17,2020,0,11,2,25.59,0,0,0,4.65,0.00,3,0,6.98,0,0.29,0.66,0.00,0.00
48,Alberta,Alberta,2020-05-02,18,2020,0,5669,1437,127.60,94,21,2.12,32.34,0.47,3108,43,69.95,0.97,205.29,4.62,3.00,0.07
59,British Columbia,Colombie-Britannique,2020-05-02,18,2020,0,2170,223,41.61,114,14,2.19,4.28,0.27,553,36,10.6,0.69,31.86,0.61,2.00,0.04
1,Canada,Canada,2020-05-02,18,2020,0,46799,9513,198.98,3302,1049,14.04,40.45,4.46,19246,1986,81.83,8.44,1359.00,5.78,149.86,0.64
46,Manitoba,Manitoba,2020-05-02,18,2020,0,280,13,20.23,6,0,0.43,0.94,0.00,27,1,1.95,0.07,1.86,0.13,0.00,0.00
13,New Brunswick,Nouveau-Brunswick,2020-05-02,18,2020,0,118,0,14.95,0,0,0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-05-02,18,2020,0,259,2,49.75,3,0,0.58,0.38,0.00,3,0,0.58,0,0.29,0.05,0.00,0.00
61,Northwest Territories,Territoires du Nord-Ouest,2020-05-02,18,2020,0,5,0,10.99,0,0,0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
12,Nova Scotia,Nouvelle-Écosse,2020-05-02,18,2020,0,963,98,97.07,31,9,3.12,9.88,0.91,314,24,31.65,2.42,14.00,1.41,1.29,0.13
62,Nunavut,Nunavut,2020-05-02,18,2020,0,0,0,0.00,0,0,0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
35,Ontario,Ontario,2020-05-02,18,2020,0,17116,3124,115.44,1166,359,7.86,21.07,2.42,7109,655,47.95,4.42,446.29,3.01,51.29,0.35
11,Prince Edward Island,Île-du-Prince-Édouard,2020-05-02,18,2020,0,27,1,16.43,0,0,0,0.61,0.00,1,0,0.61,0,0.14,0.09,0.00,0.00
24,Quebec,Québec,2020-05-02,18,2020,0,29655,6389,344.65,2136,690,24.82,74.25,8.02,12135,1331,141.03,15.47,912.71,10.61,98.57,1.15
47,Saskatchewan,Saskatchewan,2020-05-02,18,2020,0,421,72,35.68,6,2,0.51,6.10,0.17,108,2,9.15,0.17,10.29,0.87,0.29,0.02
60,Yukon,Yukon,2020-05-02,18,2020,0,11,0,25.59,0,0,0,0.00,0.00,2,0,4.65,0,0.00,0.00,0.00,0.00
48,Alberta,Alberta,2020-05-09,19,2020,0,6156,487,138.56,116,22,2.61,10.96,0.50,1924,43,43.31,0.97,69.57,1.57,3.14,0.07
59,British Columbia,Colombie-Britannique,2020-05-09,19,2020,0,2329,159,44.66,129,15,2.47,3.05,0.29,382,29,7.33,0.56,22.71,0.44,2.14,0.04
1,Canada,Canada,2020-05-09,19,2020,0,56954,10155,242.16,4371,1069,18.58,43.18,4.55,19668,2118,83.63,9.01,1450.71,6.17,152.71,0.65
46,Manitoba,Manitoba,2020-05-09,19,2020,0,284,4,20.52,7,1,0.51,0.29,0.07,17,1,1.23,0.07,0.57,0.04,0.14,0.01
13,New Brunswick,Nouveau-Brunswick,2020-05-09,19,2020,0,120,2,15.20,0,0,0,0.25,0.00,2,0,0.25,0,0.29,0.04,0.00,0.00
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-05-09,19,2020,0,260,1,49.95,3,0,0.58,0.19,0.00,3,0,0.58,0,0.14,0.03,0.00,0.00
61,Northwest Territories,Territoires du Nord-Ouest,2020-05-09,19,2020,0,5,0,10.99,0,0,0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
12,Nova Scotia,Nouvelle-Écosse,2020-05-09,19,2020,0,1011,48,101.91,47,16,4.74,4.84,1.61,146,25,14.72,2.52,6.86,0.69,2.29,0.23
62,Nunavut,Nunavut,2020-05-09,19,2020,0,0,0,0.00,0,0,0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
35,Ontario,Ontario,2020-05-09,19,2020,0,19941,2825,134.50,1585,419,10.69,19.05,2.83,5949,778,40.12,5.25,403.57,2.72,59.86,0.40
11,Prince Edward Island,Île-du-Prince-Édouard,2020-05-09,19,2020,0,27,0,16.43,0,0,0,0.00,0.00,1,0,0.61,0,0.00,0.00,0.00,0.00
24,Quebec,Québec,2020-05-09,19,2020,0,36985,7330,429.83,2786,650,32.38,85.19,7.55,13719,1340,159.44,15.57,1047.14,12.17,92.86,1.08
47,Saskatchewan,Saskatchewan,2020-05-09,19,2020,0,553,132,46.87,6,0,0.51,11.19,0.00,204,2,17.29,0.17,18.86,1.60,0.00,0.00
60,Yukon,Yukon,2020-05-09,19,2020,0,11,0,25.59,0,0,0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
48,Alberta,Alberta,2020-05-16,20,2020,0,6586,430,148.24,126,10,2.84,9.68,0.23,917,32,20.64,0.72,61.43,1.38,1.43,0.03
59,British Columbia,Colombie-Britannique,2020-05-16,20,2020,0,2427,98,46.54,141,12,2.7,1.88,0.23,257,27,4.93,0.52,14.00,0.27,1.71,0.03
1,Canada,Canada,2020-05-16,20,2020,0,64520,7566,274.33,5325,954,22.64,32.17,4.06,17721,2023,75.35,8.6,1080.86,4.60,136.29,0.58
46,Manitoba,Manitoba,2020-05-16,20,2020,0,289,5,20.89,7,0,0.51,0.36,0.00,9,1,0.65,0.07,0.71,0.05,0.00,0.00
13,New Brunswick,Nouveau-Brunswick,2020-05-16,20,2020,0,120,0,15.20,0,0,0,0.00,0.00,2,0,0.25,0,0.00,0.00,0.00,0.00
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-05-16,20,2020,0,260,0,49.95,3,0,0.58,0.00,0.00,1,0,0.19,0,0.00,0.00,0.00,0.00
61,Northwest Territories,Territoires du Nord-Ouest,2020-05-16,20,2020,0,5,0,10.99,0,0,0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
12,Nova Scotia,Nouvelle-Écosse,2020-05-16,20,2020,0,1037,26,104.53,55,8,5.54,2.62,0.81,74,24,7.46,2.42,3.71,0.37,1.14,0.12
62,Nunavut,Nunavut,2020-05-16,20,2020,0,0,0,0.00,0,0,0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
